address,total_count,other_count,pistol_count,revolver_count,rifle_count,shotgun_count,year,month,dow,neighborhood,council_district,ward,tract,public_works_division,police_zone,fire_zone,latitude,longitude
"200 BLOCK ALRIES ST PITTSBURGH, PA 15210",2,0,1,0,1,0,2019,3,5,Carrick,4,29,42003290200,3,3,4-12,40.3995759692895,-79.9856229912804
"200 BLOCK ALICE ST PITTSBURGH, PA 15210",2,0,2,0,0,0,2020,5,3,,,,,,3,,,
"800 BLOCK BRYN MAWR RD PITTSBURGH, PA 15219",2,0,0,2,0,0,2015,4,5,Upper Hill,6,5,42003050600,3,2,2-22,40.4523591746224,-79.9602433521871
"2500 BLOCK WEBSTER AVE PITTSBURGH, PA 15219",2,0,2,0,0,0,2017,8,3,Middle Hill,6,5,42003050100,3,2,2-5,40.4495428359169,-79.9722172105802
"E CARSON ST & S 14TH ST PITTSBURGH, PA 15203",2,1,1,0,0,0,2015,12,4,South Side Flats,3,17,42003170200,3,3,4-24,40.42880715024,-79.9841490514312
"2000 BLOCK CENTRE AVE PITTSBURGH, PA 15219",2,0,2,0,0,0,2018,1,4,Crawford-Roberts,6,5,42003050100,3,2,2-1,40.4435889103073,-79.9799824053927
"EAST ST & EAST OHIO ST PITTSBURGH, PA 15212",2,0,2,0,0,0,2018,9,6,East Allegheny,1,23,42003563200,1,1,1-6,40.4540288622389,-79.9978773280607
"300 BLOCK MT PLEASANT RD PITTSBURGH, PA",2,0,2,0,0,0,2021,5,0,,,,,,1,,,
"800 BLOCK SCHULER ST PITTSBURGH, PA 15210",2,0,1,0,1,0,2016,10,5,St. Clair,3,16,42003561700,3,3,4-8,40.409423922152,-79.975051923822
"7200 BLOCK EVERTON ST PITTSBURGH, PA 15208",2,0,2,0,0,0,2017,12,4,Lincoln-Lemington-Belmar,9,12,42003561900,2,5,3-18,40.4630246455571,-79.8927748218198
"1300 BLOCK CHICAGO ST PITTSBURGH, PA 15214",2,0,2,0,0,0,2015,12,5,Northview Heights,1,26,42003260900,1,1,1-13,40.4780460801605,-80.0018064639388
"2200 BLOCK EAST HILLS DR PITTSBURGH, PA 15221",2,0,2,0,0,0,2018,10,1,East Hills,9,13,42003130600,2,5,3-19,40.4539041976002,-79.8730925207885
"300 BLOCK E MC INTYRE AVE PITTSBURGH, PA 15214",2,0,2,0,0,0,2022,1,5,,,,42003563900,,1,,40.4125315408834,-79.8427960425285
"400 BLOCK LORENZ AVE PITTSBURGH, PA 15220",2,0,1,0,1,0,2020,10,1,Elliott,2,20,42003562600,5,6,1-17,40.4465210550219,-80.0371621637757
"PENN AVE & BRADDOCK AVE PITTSBURGH, PA",2,0,2,0,0,0,2017,12,4,Point Breeze,9,14,42003140600,3,4,3-14,40.4471406664877,-79.8951649869709
"3800 BLOCK ALLENDALE CIR PITTSBURGH, PA 15204",2,0,2,0,0,0,2022,1,6,Sheraden,2,20,42003202200,5,6,1-16,40.4590498840317,-80.0638973900066
"100 BLOCK HILLSON AVE PITTSBURGH, PA 15227",2,0,1,0,0,1,2020,3,3,,,,42003478100,,OSC,,40.3750228315306,-79.9773471889088
"100 BLOCK OVERBROOK BLVD PITTSBURGH, PA 15210",2,0,2,0,0,0,2019,8,6,Carrick,4,29,42003290400,3,3,4-23,40.3888675224929,-79.9862223231758
"TRUAX WAY & KILKENBECK ST PITTSBURGH, PA 15212",2,0,1,1,0,0,2019,6,4,Troy Hill,1,24,42003240600,1,1,1-2,40.4593487440208,-79.9871694302261
"BLOCK OVER VIEW PARK PITTSBURGH, PA",2,0,0,2,0,0,2016,3,1,,,,,,6,,,
"6600 BLOCK HAMILTON AVE PITTSBURGH, PA 15206",2,0,1,1,0,0,2016,1,0,Larimer,9,12,42003120800,2,5,3-10,40.457698841715,-79.9107607308275
